location,Rheumatoid arthritis_val_DALYs (Disability-Adjusted Life Years),Osteoarthritis_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_DALYs (Disability-Adjusted Life Years),Neck pain_val_DALYs (Disability-Adjusted Life Years),Low back pain_val_Prevalence,Osteoarthritis_val_Prevalence,Rheumatoid arthritis_val_Prevalence,Neck pain_val_Prevalence,Rheumatoid arthritis_val_Incidence,Low back pain_val_Incidence,Osteoarthritis_val_Incidence,Neck pain_val_Incidence,Rheumatoid arthritis_val_Deaths,Migraine_val_DALYs (Disability-Adjusted Life Years),Migraine_val_Incidence,co2_emissions,waste
Sweden,0.0031157093907656,0.0147057172975928,0.0398008681128609,0.0145984219598918,0.1038491725433731,0.1204156870734759,0.0056828560385509,0.0429503673605585,7.06503516053e-05,0.0098405019186667,0.0017113542993836,0.0014106030024848,,,,0.0,862365.8254726072
Switzerland,0.0027588870727578,0.0166713114905408,0.0574726515611906,0.0145017409311828,0.1457589312001887,0.1329581472493328,0.0052039871310772,0.0416190415986282,6.6604500627e-05,0.0132347911605694,0.0020048907929263,0.0013322097189025,,,,74865.59202018088,712.3453234955865
Syrian Arab Republic,0.0005183127068599,0.0067765816204024,0.0303658786788114,0.0121380914307878,,,,,1.3588680837e-05,0.0096343490192745,0.0013889684152436,0.0018871518317216,0.000105073289342,0.0195378286491588,0.0032875235912714,0.0,1908957.5371621205
Tajikistan,0.0005381866737354,0.0039306030698809,0.0238751757153011,0.0062959557845728,,,,,1.92990829645e-05,0.0083537343980865,0.0008873921348043,0.001214789743292,8.192296870968023e-05,0.0149601819951501,0.0031778438002815,0.0,541160.0262755618
Tunisia,0.0005021934989581,0.0075591728565407,0.031346881752103,0.012489911961169,,,,,1.11417668265e-05,0.008939466673979,0.0013202116170574,0.0017443740548641,8.088544377571042e-05,0.0185817743625611,0.0026709695557372,0.0,2305630.1699962304
Turkey,0.0013580993252095,0.0086592658743896,0.0365859023778547,0.0139528893060215,,,,,2.56138370596e-05,0.008725893731367,0.0012650036130318,0.0016398524061984,0.0003745020638744,0.0209403726583085,0.0025046746741496,,
Turkmenistan,0.000343227337803,0.0054315703291101,0.0246377708507798,0.0060460414918883,,,,,1.19002667889e-05,0.0096819276769523,0.0012724510372177,0.0013090672854192,6.688129962686761e-05,0.0135417762329374,0.0030605754360942,30053.40750481843,817567.2288697379
Ukraine,0.0005242347629906,0.0089806631477662,0.0372713549460002,0.0065805120403599,,,,,1.15458387807e-05,0.0148290163434796,0.0019197284285601,0.0016116590151848,0.0001759239691891,0.0120338840687899,0.0020292751820616,7393689.362452972,19838957.879586857
United Arab Emirates,0.0009621443921412,0.009308055317448,0.0484178622286128,0.0198710413030548,,,,,1.59536648456e-05,0.0091592894987485,0.001707607673519,0.0019875695403982,0.0001890275723351,0.0327327407213486,0.0027482007572047,0.0,5286761.605337834
United Kingdom,0.0035337575960553,0.0147989103995654,0.0438510900047593,0.0135207158828155,0.1330949039704406,0.1388676133984188,0.0072630871733201,0.0463679766584996,8.90116253121e-05,0.0124826891253898,0.0021260934883848,0.0017669563507421,,,,2929554.5033397856,5653233.9404907925
Uzbekistan,0.0014736702162355,0.0067225408640416,0.0326499486600156,0.007822976134684,,,,,4.43311130531e-05,0.011004379506252,0.0014035273472818,0.0014496816952626,0.0002941614595688,0.0174754401836735,0.0033532510548318,288289.77671288786,4563241.022168658
Yemen,0.0001842383683111,0.002034791341186,0.0174613014963667,0.0064645273535694,,,,,5.9845134203e-06,0.0061301534586339,0.0005171894446538,0.0012153552120143,7.564242254803875e-05,0.0138266027502461,0.0030918705138801,0.0,2571881.8720139954
